national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
0.0,8.0,0.0,2.0,3.0,5.0,0.0,3.0,3.0,3.0,2.0,0,0.0,0.68,0.58,0.0,0,0,1,1,0,1
24.0,8.0,0.0,3456.0,3456.0,3456.0,10.0,39.0,68.0,93.0,7.0,0,0.0,1.0,0.95,1.0,0,0,1,1,0,1
30.0,8.0,14.0,42.0,84.0,126.0,7.0,56.0,107.0,148.0,24.0,0,0.0,0.98,0.92,0.0,0,0,0,1,0,1
-499.0,12.0,350.0,3452.0,5044.0,7188.0,747.0,2550.0,3572.0,4745.0,401.0,0,0.0,0.49,0.72,525.0,0,0,0,1,0,1
1.0,8.0,2.0,26.0,38.0,46.0,8.0,14.0,27.0,42.0,0.0,0,0.0,0.97,0.94,0.0,0,0,0,1,0,1
13.0,2.0,0.0,5.0,15.0,25.0,10.0,31.0,48.0,58.0,4.0,0,0.0,0.99,0.99,0.0,0,0,0,1,0,1
5.0,2.0,0.0,13.0,26.0,26.0,1.0,5.0,10.0,18.0,3.0,0,0.0,0.06,0.5,0.0,0,0,1,1,0,1
0.0,2.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1,0.05,0.0,1,0,0,1,0,1
-4.0,8.0,0.0,24.0,41.0,50.0,3.0,6.0,19.0,32.0,5.0,0,1.0,0.77,0.74,4.0,0,0,0,1,0,1
8.0,8.0,0.0,6.0,17.0,23.0,7.0,13.0,28.0,50.0,4.0,0,0.0,0.96,0.94,0.0,0,0,0,1,0,1
0.0,8.0,1.0,6.0,6.0,6.0,0.0,4.0,9.0,12.0,0.0,0,1.0,0.9,0.89,0.0,0,0,0,1,0,1
0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0,0.0,0.89,0.9,0.0,0,0,0,1,0,1
0.0,12.0,1.0,4.0,7.0,10.0,1.0,3.0,5.0,8.0,0.0,0,0.0,0.82,0.79,0.0,0,0,0,1,0,1
57.0,8.0,0.0,576.0,768.0,960.0,61.0,184.0,519.0,589.0,101.0,0,0.0,0.0,0.0,3.0,0,0,0,1,0,1
0.0,8.0,0.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,0.0,0,0.0,0.96,0.97,0.0,0,0,0,1,0,1
2.0,8.0,0.0,38.0,55.0,89.0,12.0,41.0,75.0,98.0,1.0,0,0.0,0.99,0.99,0.0,0,0,1,1,0,1
5.0,8.0,0.0,15.0,30.0,44.0,6.0,15.0,47.0,61.0,4.0,0,0.0,0.5,0.63,0.0,1,0,0,1,0,1
0.0,8.0,0.0,3.0,4.0,6.0,2.0,3.0,4.0,5.0,0.0,0,0.0,0.77,0.78,0.0,0,0,0,1,0,1
20.0,2.0,0.0,45.0,99.0,153.0,16.0,42.0,80.0,111.0,10.0,0,0.0,0.81,0.88,0.0,0,0,0,1,0,1
0.0,12.0,0.0,3.0,4.0,5.0,1.0,3.0,5.0,5.0,0.0,0,0.0,0.82,0.79,0.0,1,0,0,0,0,1
0.0,9.0,0.0,22.0,42.0,62.0,6.0,18.0,28.0,38.0,4.0,0,0.0,0.69,0.68,0.0,0,0,0,1,0,1
1.0,2.0,0.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,0.99,0.0,0,0,0,1,0,1
3.0,2.0,0.0,10.0,16.0,26.0,5.0,8.0,21.0,33.0,1.0,0,0.0,0.99,0.99,0.0,0,0,0,1,0,1
0.0,8.0,0.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.77,0.78,0.0,1,0,0,1,0,1
45.0,8.0,183.0,474.0,822.0,1104.0,305.0,539.0,884.0,1182.0,227.0,0,0.0,0.93,0.67,3.0,0,0,0,1,0,1
0.0,2.0,0.0,16.0,40.0,40.0,0.0,1.0,1.0,1.0,0.0,0,16.0,0.85,0.88,0.0,1,0,1,1,0,1
0.0,8.0,0.0,9.0,14.0,21.0,5.0,17.0,36.0,43.0,0.0,0,0.0,0.96,0.98,0.0,0,0,0,1,0,1
0.0,8.0,0.0,10.0,10.0,20.0,6.0,8.0,15.0,20.0,1.0,0,0.0,0.75,0.89,0.0,0,0,0,1,0,1
0.0,12.0,0.0,31.0,31.0,31.0,7.0,15.0,33.0,47.0,2.0,0,3.0,0.98,0.98,0.0,0,0,0,1,0,1
1.0,9.0,0.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,0,0.0,0.85,0.83,0.0,0,0,0,1,0,1
0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,1,1,0,1
7.0,2.0,0.0,0.0,0.0,10.0,1.0,2.0,6.0,11.0,0.0,0,0.0,0.99,0.98,0.0,0,0,0,1,0,1
55.0,8.0,0.0,216.0,360.0,492.0,30.0,108.0,275.0,340.0,51.0,0,0.0,0.0,0.0,0.0,0,0,1,1,0,1
3.0,14.0,0.0,6.0,18.0,24.0,3.0,9.0,12.0,18.0,1.0,0,0.0,0.99,0.82,0.0,0,0,0,1,0,1
-34.0,8.0,0.0,120.0,240.0,240.0,83.0,122.0,144.0,165.0,33.0,0,0.0,1.0,0.97,34.0,0,0,0,1,0,1
5.0,4.0,0.0,0.0,15.0,15.0,3.0,5.0,8.0,12.0,0.0,0,0.0,0.95,0.94,0.0,0,0,0,1,0,1
3.0,2.0,0.0,0.0,6.0,12.0,2.0,8.0,14.0,19.0,0.0,0,0.0,0.95,0.97,0.0,0,0,0,1,0,1
3.0,8.0,0.0,36.0,64.0,100.0,13.0,34.0,65.0,91.0,0.0,0,0.0,0.96,0.94,0.0,0,0,0,1,0,1
3.0,0.0,0.0,12.0,26.0,38.0,5.0,16.0,29.0,42.0,1.0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,1
